SZ002415	2011-01-04	2021-06-18
SZ002475	2014-06-16	2021-06-18
SZ002493	2018-06-11	2021-06-18
SZ002558	2017-06-12	2021-06-18
SZ002594	2012-01-04	2021-06-18
SZ002607	2019-12-16	2021-06-18
SZ002673	2013-01-04	2021-06-18
SZ002714	2016-12-12	2021-06-18
SZ002736	2015-06-15	2021-06-18
SZ002739	2019-06-17	2021-06-18
SZ002938	2019-06-17	2021-06-18
SZ003816	2020-06-15	2021-06-18
SZ300015	2017-12-11	2021-06-18
SZ300059	2015-06-15	2021-06-18
SZ300122	2017-12-11	2021-06-18
SZ300433	2018-06-11	2021-06-18
SZ300498	2019-06-17	2021-06-18
SH600208	2005-01-01	2021-06-10
SH601198	2015-12-14	2021-06-10
SH601117	2017-06-12	2021-06-10
SH600637	2013-01-04	2021-06-10
SH600177	2005-01-01	2021-06-10
SH600027	2018-12-17	2021-06-10
SH601018	2011-07-01	2020-12-11
SH601898	2017-12-11	2020-12-11
SZ000709	2005-01-01	2020-12-11
SH600583	2005-01-01	2020-12-11
SH600089	2005-01-01	2020-12-11
SH600188	2005-01-01	2020-12-11
SH600221	2005-01-01	2020-12-11
SH600372	2012-01-04	2020-12-11
SH600398	2018-06-11	2020-12-11
SH600663	2019-06-17	2020-06-12
SH600535	2011-01-04	2020-06-12
SH600023	2014-06-16	2020-06-12
SZ000629	2019-06-17	2020-06-12
SZ000898	2017-12-11	2020-06-12
SH600688	2013-12-16	2019-12-13
SZ000402	2005-01-01	2019-12-13
SH600518	2009-07-01	2019-06-14
SH601991	2017-12-11	2019-06-14
SH601333	2005-01-01	2019-06-14
SZ002797	2016-12-12	2019-06-14
SZ002450	2013-07-01	2019-06-14
SZ000983	2016-12-12	2019-06-14
SZ000839	2016-06-13	2019-06-14
SZ000792	2005-01-01	2019-06-14
SH600008	2013-12-16	2018-12-14
SH601866	2008-07-01	2018-12-14
SH600959	2015-12-14	2018-12-14
SH600663	2013-12-16	2018-12-14
SH601958	2005-01-01	2018-12-14
SZ002739	2015-12-14	2018-12-14
SH601118	2011-07-01	2018-06-08
SH600649	2005-01-01	2018-06-08
SH600871	2016-06-13	2018-06-08
SH601872	2015-12-14	2018-06-08
SH600485	2014-12-15	2018-06-08
SH600150	2005-01-01	2017-12-08
SH600256	2005-01-01	2017-12-08
SZ300104	2015-06-15	2017-12-08
SH600875	2005-01-01	2017-06-09
SZ000027	2014-06-16	2017-06-09
SZ300015	2014-12-15	2017-06-09
SH600600	2005-01-01	2016-12-09
SH600642	2005-01-01	2016-12-09
SH601808	2005-01-01	2016-12-09
SH601117	2010-07-01	2016-12-09
SH601898	2008-07-01	2016-12-09
SH601991	2015-06-15	2016-12-09
SH600398	2014-12-15	2016-12-09
SZ000898	2014-12-15	2016-12-09
SZ000825	2014-12-15	2016-12-09
SZ002399	2011-01-04	2016-12-09
SH600011	2012-07-02	2016-12-09
SH600027	2013-01-04	2016-12-09
SH600350	2015-12-14	2016-06-08
SH600717	2015-06-15	2016-06-08
SH603288	2014-12-15	2016-06-08
SH601158	2011-01-04	2016-06-08
SH601238	2015-12-14	2016-06-08
SH601699	2005-01-01	2016-06-08
SZ000937	2005-01-01	2016-06-08
SZ000629	2012-01-04	2016-06-08
SZ000983	2005-01-01	2016-06-08
SZ002353	2012-07-02	2016-06-08
SH600348	2005-01-01	2015-12-11
SH600809	2005-01-01	2015-12-11
SH601168	2005-01-01	2015-12-11
SZ000878	2005-01-01	2015-12-11
SZ000839	2005-01-01	2015-12-11
SZ000869	2011-07-01	2015-06-12
